"ruleId","titleZhHant","grammarCategory","formula","structuralSignature","incorrectPattern","correctPattern","explanationZhHant","correctExamples","incorrectExamples","alternativeCorrections","englishVariant","status","version","author"
"MANY_PLURAL_NOUN","many 後使用可數名詞複數","singular_plural","many + plural countable noun","[""many"",""singular_countable_noun""]","many + singular countable noun","many + plural countable noun","many 後面接可數名詞複數。","[""many companies"",""many memories""]","[""many company"",""many memory""]","[]","both","approved","1","Edmund Sir"
"PLURAL_SUBJECT_VERB","複數主語與現在式動詞一致","subject_verb_agreement","plural subject + base-form present verb","[""plural_subject"",""present_verb_s""]","plural subject + present verb ending in s","plural subject + base-form present verb","複數主語在一般現在式中通常配合不加 s 的動詞。","[""Companies require uniforms."",""They need help.""]","[""Companies requires uniforms."",""They needs help.""]","[]","both","approved","1","Edmund Sir"
"STAFF_COLLECTIVE_NOUN","staff 的集合名詞用法","countability","staff / staff members","[""staff"",""nonstandard_plural""]","staffs when referring generally to employees","staff or staff members","staff 通常是集合名詞。可寫 staff 或 staff members，一般不寫 staffs。","[""The company supports its staff."",""The staff members wear uniforms.""]","[""The company supports its staffs.""]","[""staff members""]","both","approved","1","Edmund Sir"
"TO_BASE_VERB","to 後使用動詞原形","infinitive_or_gerund","to + base verb","[""infinitive_to"",""inflected_verb""]","infinitive to + inflected verb","infinitive to + base verb","不定詞 to 後面使用動詞原形。","[""to wear uniforms""]","[""to wears uniforms""]","[]","both","approved","1","Edmund Sir"
"SINGULAR_SUBJECT_VERB","單數主語與現在式動詞一致","subject_verb_agreement","third-person singular subject + present verb ending in s","[""singular_subject"",""base_present_verb""]","third-person singular subject + base present verb","third-person singular subject + present verb ending in s","第三身單數主語在一般現在式中，動詞通常要加 s 或使用相應的單數形式。","[""The policy has benefits."",""The design does not suit everyone.""]","[""The policy have benefits."",""The design do not suit everyone.""]","[]","both","approved","1","Edmund Sir"
"SEVERAL_PLURAL_NOUN","several 後使用可數名詞複數","singular_plural","several + plural countable noun","[""several"",""singular_countable_noun""]","several + singular countable noun","several + plural countable noun","several 後面要接可數名詞複數。","[""several advantages""]","[""several advantage""]","[]","both","approved","1","Edmund Sir"
"GENERAL_GROUP_PLURAL","泛指群體時使用複數名詞","singular_plural","general group reference -> plural noun","[""general_reference"",""singular_countable_noun""]","bare singular countable noun used for a general group","plural countable noun used for a general group","泛指某一類人或事物時，通常使用可數名詞複數。","[""Customers can find staff.""]","[""Customer can find staff.""]","[]","both","approved","1","Edmund Sir"
"MODAL_BASE_VERB","情態動詞後使用動詞原形","modal_or_auxiliary","can / could / may / might / should / must + base verb","[""modal"",""inflected_verb""]","modal + inflected verb","modal + base verb","can、may、should 等情態動詞後面，要直接使用最基本的動詞形式，不加 s、ed 或 ing。","[""Customers can identify staff."",""Uniforms may save money."",""Companies should provide suitable clothing.""]","[""Customers can identifies staff."",""Uniforms may saves money."",""Companies should provides suitable clothing.""]","[]","both","approved","1","Edmund Sir"
"SPEND_MONEY_ON","spend money on 的介詞搭配","preposition","spend money on something","[""spend"",""money"",""for""]","spend money for something","spend money on something","表示「花錢在某事上」使用 spend money on something。","[""Staff spend money on work clothes.""]","[""Staff spend money for work clothes.""]","[]","both","approved","1","Edmund Sir"
"GENERAL_SOME_PLURAL","some 泛指可數群體時使用複數","singular_plural","some + plural countable noun","[""some"",""singular_countable_noun""]","some + singular countable noun in a group reference","some + plural countable noun","some 泛指一群可數的人或事物時，後面的名詞使用複數。","[""some employees""]","[""some employee""]","[]","both","approved","1","Edmund Sir"
"SHARED_MODAL_PARALLEL","共用情態動詞的平行結構","parallelism","modal + base verb + and + base verb","[""modal"",""coordinated_verbs"",""inflected_second_verb""]","modal + base verb + and + inflected verb","modal + base verb + and + base verb","情態動詞同時控制兩個並列動詞時，兩個動詞都使用原形。","[""Companies should provide uniforms and allow choices.""]","[""Companies should provide uniforms and allows choices.""]","[]","both","approved","1","Edmund Sir"
"PREPOSITION_GERUND","介詞後使用動名詞","infinitive_or_gerund","preposition + verb-ing","[""preposition"",""past_or_base_verb""]","preposition + finite or past verb","preposition + verb-ing","介詞後面的動作通常使用動名詞形式。","[""without causing discomfort""]","[""without caused discomfort""]","[]","both","approved","1","Edmund Sir"
"PURPOSE_TO_INFINITIVE","使用不定詞表達行動目的","infinitive_or_gerund","action + to + base verb","[""movement_or_action"",""for"",""base_verb""]","action + for + base verb","action + to + base verb","表示某個行動的目的時，通常使用 to + 動詞原形。","[""We travelled to Japan to visit several cities.""]","[""We travelled to Japan for visit several cities.""]","[]","both","approved","1","Edmund Sir"
"NEAR_PREPOSITION","near 直接接地方","preposition","near + place / close to + place","[""near"",""from"",""place""]","near from + place","near + place","near 可以直接接地方；也可以使用 close to。","[""near the railway station"",""close to the railway station""]","[""near from the railway station""]","[""close to""]","both","approved","1","Edmund Sir"
"ADJECTIVE_AFTER_BE","be 後使用形容詞描述狀態","word_form","be + degree adverb + adjective","[""be"",""very"",""noun_form""]","be + very + noun form","be + very + adjective form","be 動詞後描述主語狀態時，需要使用形容詞，而不是相關名詞。","[""Travelling was very convenient.""]","[""Travelling was very convenience.""]","[]","both","approved","1","Edmund Sir"
"INFORMATION_UNCOUNTABLE","information 是不可數名詞","countability","much information / pieces of information","[""many"",""information_plural""]","many informations","much information or pieces of information","information 在一般英文中是不可數名詞，不能直接加 s。","[""much information"",""three pieces of information""]","[""many informations""]","[""a lot of information"",""several pieces of information""]","both","approved","1","Edmund Sir"
